攻击开始,时间戳：1739881315024 ms,模式：1,目标值：3572365,持续时间：51秒
攻击结束,时间戳：1739881366051 ms

攻击开始,时间戳：1739881791210 ms,模式：1,目标值：3627827,持续时间：48秒
攻击结束,时间戳：1739881839227 ms

攻击开始,时间戳：1739882388449 ms,模式：1,目标值：3964389,持续时间：49秒
攻击结束,时间戳：1739882437469 ms

攻击开始,时间戳：1739882737571 ms,模式：3,目标值：3200757,持续时间：52秒
攻击结束,时间戳：1739882789588 ms

攻击开始,时间戳：1739883278806 ms,模式：2,目标值：5095623,持续时间：28秒
攻击结束,时间戳：1739883306816 ms

攻击开始,时间戳：1739883586901 ms,模式：2,目标值：5397339,持续时间：28秒
攻击结束,时间戳：1739883614911 ms

攻击开始,时间戳：1739884175116 ms,模式：1,目标值：2254004,持续时间：60秒
攻击结束,时间戳：1739884235135 ms

攻击开始,时间戳：1739884746328 ms,模式：3,目标值：4162613,持续时间：57秒
攻击结束,时间戳：1739884803349 ms

攻击开始,时间戳：1739885320524 ms,模式：1,目标值：3490532,持续时间：22秒
攻击结束,时间戳：1739885342531 ms

攻击开始,时间戳：1739885634636 ms,模式：1,目标值：5969808,持续时间：48秒
攻击结束,时间戳：1739885682651 ms

攻击开始,时间戳：1739886185839 ms,模式：2,目标值：3141587,持续时间：31秒
攻击结束,时间戳：1739886216849 ms

攻击开始,时间戳：1739886622017 ms,模式：1,目标值：5823613,持续时间：31秒
攻击结束,时间戳：1739886653029 ms

攻击开始,时间戳：1739887094189 ms,模式：3,目标值：5084318,持续时间：48秒
攻击结束,时间戳：1739887142208 ms

攻击开始,时间戳：1739887483341 ms,模式：3,目标值：2558036,持续时间：32秒
攻击结束,时间戳：1739887515354 ms

攻击开始,时间戳：1739887966505 ms,模式：3,目标值：3517792,持续时间：54秒
攻击结束,时间戳：1739888020547 ms

攻击开始,时间戳：1739888410700 ms,模式：2,目标值：2476724,持续时间：32秒
攻击结束,时间戳：1739888442710 ms

攻击开始,时间戳：1739888885915 ms,模式：2,目标值：3253431,持续时间：46秒
攻击结束,时间戳：1739888931926 ms

攻击开始,时间戳：1739889385109 ms,模式：2,目标值：3194659,持续时间：55秒
攻击结束,时间戳：1739889440129 ms

攻击开始,时间戳：1739889794316 ms,模式：2,目标值：5275865,持续时间：36秒
