master_offset,freq,path_delay,date,OT
-527777,-201116,1493540,2025-01-12 05:01:08.578494208,0.5000717639923096
149308,317636,1085678,2025-01-12 05:01:09.578746368,0.4998731613159179
-469869,-256749,1493540,2025-01-12 05:01:10.581303552,0.5000951290130615
-140211,-68052,1441967,2025-01-12 05:01:11.578927872,0.500046968460083
-258958,-228862,1441967,2025-01-12 05:01:12.579541504,0.5001068115234375
-381208,-428799,1901403,2025-01-12 05:01:13.578787328,0.5002045631408691
176184,14230,1901403,2025-01-12 05:01:14.578785280,0.5000202655792236
341299,232200,1671685,2025-01-12 05:01:15.578830592,0.4998984336853027
-251622,-258331,1901403,2025-01-12 05:01:16.578926848,0.5001025199890137
35776,-46420,1901403,2025-01-12 05:01:17.579427328,0.500037431716919
244193,172730,1671685,2025-01-12 05:01:18.579109376,0.4999282360076904
682446,684241,1263822,2025-01-12 05:01:19.579544576,0.4996895790100097
-50026,156503,1263822,2025-01-12 05:01:20.579586048,0.4998924732208252
-224700,-33179,1218999,2025-01-12 05:01:21.579537152,0.500007152557373
-251471,-127360,1218999,2025-01-12 05:01:22.578884352,0.5000600814819336
557993,606663,976931,2025-01-12 05:01:23.579309568,0.4997410774230957
-360318,-144250,976931,2025-01-12 05:01:24.579661056,0.5000300407409668
7429,115401,747634,2025-01-12 05:01:25.579829248,0.4999592304229736
527806,638007,747634,2025-01-12 05:01:26.579879936,0.4997134208679199
-802368,-533825,747634,2025-01-12 05:01:27.579156224,0.5002009868621826
-444452,-416620,863861,2025-01-12 05:01:28.579604480,0.5002169609069824
-119468,-224971,1081606,2025-01-12 05:01:29.579161344,0.5001254081726074
168653,27309,1081606,2025-01-12 05:01:30.579994880,0.5000028610229492
260186,169438,878810,2025-01-12 05:01:31.579320832,0.4999251365661621
173540,160848,878810,2025-01-12 05:01:32.579341312,0.4999208450317383
-61633,-22263,1066629,2025-01-12 05:01:33.579473408,0.500002384185791
-308249,-287369,1066629,2025-01-12 05:01:34.580509696,0.5001296997070312
-7479,-79073,1167039,2025-01-12 05:01:35.580433664,0.5000534057617188
42578,-31260,1167039,2025-01-12 05:01:36.579946752,0.5000200271606445
257242,196177,1115993,2025-01-12 05:01:37.580427520,0.4999172687530517
95016,111124,1152062,2025-01-12 05:01:38.579955456,0.4999411106109619
-33462,11151,1117389,2025-01-12 05:01:39.579575552,0.4999904632568359
7057,41631,1117389,2025-01-12 05:01:40.580037888,0.4999825954437256
-246555,-209864,1252087,2025-01-12 05:01:41.579668736,0.5000920295715332
-58957,-96232,1252087,2025-01-12 05:01:42.580201728,0.5000565052032471
75705,20743,1252087,2025-01-12 05:01:43.580221696,0.4999983310699463
-11240,-43491,1116929,2025-01-12 05:01:44.579652096,0.5000197887420654
181004,145381,1058412,2025-01-12 05:01:45.580234496,0.4999401569366455
102403,121081,1058412,2025-01-12 05:01:46.580056064,0.4999399185180664
135919,185318,948174,2025-01-12 05:01:47.580311552,0.4999127388000488
-326045,-235870,1035633,2025-01-12 05:01:48.580642560,0.5000951290130615
55783,48144,967509,2025-01-12 05:01:49.579847168,0.4999940395355224
53302,62398,967509,2025-01-12 05:01:50.580491264,0.4999713897705078
376,25463,921734,2025-01-12 05:01:51.581528064,0.4999868869781494
151504,176704,921734,2025-01-12 05:01:53.580950528,0.4999222755432129
-263385,-192734,921734,2025-01-12 05:01:54.580423168,0.5000767707824707
-78505,-86870,967509,2025-01-12 05:01:55.580368640,0.5000512599945068
177648,145732,967509,2025-01-12 05:01:56.580374528,0.4999423027038574
-111548,-90170,1025882,2025-01-12 05:01:57.580383488,0.5000331401824951
-129763,-141849,1025882,2025-01-12 05:01:58.580794880,0.5000696182250977
-25813,-76828,1114550,2025-01-12 05:01:59.580431104,0.5000441074371338
597103,538344,1114550,2025-01-12 05:02:00.580987904,0.4997684955596924
-488662,-368290,1161851,2025-01-12 05:02:01.580472832,0.500133752822876
-142029,-168256,1161851,2025-01-12 05:02:02.582238464,0.5000977516174316
410435,341600,1114550,2025-01-12 05:02:03.581636864,0.4998607635498047
-38732,15563,1008261,2025-01-12 05:02:04.580889600,0.4999752044677734
-26768,15908,1008261,2025-01-12 05:02:05.581491712,0.4999938011169433
-81010,-46365,1008261,2025-01-12 05:02:06.580966656,0.5000214576721191
6901,17243,934377,2025-01-12 05:02:08.580968704,0.4999969005584717
106403,118815,934377,2025-01-12 05:02:09.581640448,0.4999482631683349
274004,318337,934377,2025-01-12 05:02:10.582294016,0.4998543262481689
-563473,-436938,999137,2025-01-12 05:02:11.581289216,0.5001766681671143
-110089,-152596,999137,2025-01-12 05:02:12.581563648,0.5000944137573242
120652,45118,934377,2025-01-12 05:02:13.581811968,0.499990701675415
142841,103503,934377,2025-01-12 05:02:14.581539840,0.4999535083770752
31635,35149,934377,2025-01-12 05:02:15.581859072,0.4999802112579345
-102102,-89098,935863,2025-01-12 05:02:16.581575680,0.5000391006469727
170065,152439,934312,2025-01-12 05:02:17.581417472,0.4999394416809082
1399737,1433130,934312,2025-01-12 05:02:19.583184640,0.4993612766265869
-1320426,-867112,934312,2025-01-12 05:02:20.582185984,0.5003008842468262
-607043,-549856,934312,2025-01-12 05:02:21.581795072,0.5002949237823486
-59764,-184690,934312,2025-01-12 05:02:22.585364224,0.5001165866851807
92070,-50786,857491,2025-01-12 05:02:23.581573632,0.5000348091125488
1062639,947404,961759,2025-01-12 05:02:24.586135040,0.4995901584625244
-968602,-765045,961759,2025-01-12 05:02:25.583279360,0.5002827644348145
-143329,-230352,941604,2025-01-12 05:02:26.581749248,0.500147819519043
157371,27349,941604,2025-01-12 05:02:27.581785600,0.5000028610229492
-297695,-380506,1190530,2025-01-12 05:02:28.582153472,0.5001685619354248
547523,375404,874066,2025-01-12 05:02:29.582638592,0.4998583793640136
97135,89273,874066,2025-01-12 05:02:30.583534592,0.4999401569366455
143169,164447,966745,2025-01-12 05:02:31.582416384,0.4999239444732666
-282019,-217790,966745,2025-01-12 05:02:32.582187776,0.5000886917114258
31332,10955,966745,2025-01-12 05:02:33.582026752,0.5000095367431641
-72537,-83514,953589,2025-01-12 05:02:34.583686912,0.5000379085540771
123174,90436,953589,2025-01-12 05:02:35.583587072,0.4999668598175049
245753,249967,838803,2025-01-12 05:02:36.582820864,0.4998860359191894
283962,361902,838803,2025-01-12 05:02:37.582757888,0.4998271465301513
-887909,-724781,953589,2025-01-12 05:02:39.582807808,0.5003011226654053
-144375,-247619,953589,2025-01-12 05:02:40.582380800,0.5001530647277832
225422,78865,838803,2025-01-12 05:02:41.582787328,0.4999814033508301
145126,66196,838803,2025-01-12 05:02:42.583429120,0.4999680519104004
-4527,-39920,832416,2025-01-12 05:02:43.582530560,0.5000157356262207
103964,67213,746778,2025-01-12 05:02:44.583288064,0.4999744892120361
224430,218869,746778,2025-01-12 05:02:45.583414784,0.4999010562896728
359537,421305,746778,2025-01-12 05:02:46.583653120,0.4998030662536621
-633619,-463990,868811,2025-01-12 05:02:47.582832384,0.5001826286315918
-275971,-296428,868811,2025-01-12 05:02:48.583764480,0.5001599788665771
300689,197441,957525,2025-01-12 05:02:49.583215360,0.4999318122863769
-439226,-452268,1117216,2025-01-12 05:02:50.582791168,0.5001904964447021
68764,-76045,1117216,2025-01-12 05:02:51.582756608,0.5000615119934082
149324,25144,1117216,2025-01-12 05:02:52.583449344,0.4999949932098388
642862,563479,734296,2025-01-12 05:02:53.583274752,0.499751329421997
-11086224,-10972748,734296,2025-01-12 05:03:14.584594688,0.5048158168792725
-151932,-3364324,734296,2025-01-12 05:03:15.584056320,0.5021228790283203
3167868,-90103,828795,2025-01-12 05:03:16.586319616,0.5002429485321045
2888299,580688,1211715,2025-01-12 05:03:17.584701440,0.4997506141662597
2220463,779342,1211715,2025-01-12 05:03:18.584131840,0.4996237754821777
983331,208349,885710,2025-01-12 05:03:20.584663040,0.4998643398284912
3334146,2854163,885710,2025-01-12 05:03:21.586875648,0.4987342357635498
-2593406,-2073145,1287835,2025-01-12 05:03:22.584808192,0.5007519721984863
-422193,-679954,1287835,2025-01-12 05:03:23.584352000,0.5004220008850098
-152252,-536671,1646746,2025-01-12 05:03:24.584538624,0.5002784729003906
420299,-9795,1646746,2025-01-12 05:03:25.585163008,0.500037431716919
366508,62503,1646746,2025-01-12 05:03:26.584736000,0.4999747276306152
476718,282666,1580847,2025-01-12 05:03:27.584819200,0.4998731613159179
118529,67492,1580847,2025-01-12 05:03:28.584553984,0.4999556541442871
423778,408300,1490977,2025-01-12 05:03:29.585240320,0.4998173713684082
-154515,-42860,1490977,2025-01-12 05:03:30.585566720,0.4999966621398926
-75030,-9729,1405724,2025-01-12 05:03:31.584783360,0.5000085830688477
155812,198604,1297118,2025-01-12 05:03:32.585862912,0.4999146461486816
1226,90761,1297118,2025-01-12 05:03:33.584909568,0.4999501705169678
-186484,-96581,1240857,2025-01-12 05:03:34.584763904,0.5000393390655518
-40707,-6749,1240857,2025-01-12 05:03:35.585646336,0.5000104904174805
128010,149756,985505,2025-01-12 05:03:36.584993280,0.4999358654022217
160921,221070,985505,2025-01-12 05:03:37.585063680,0.4998953342437744
-180446,-72021,945647,2025-01-12 05:03:38.585206784,0.5000207424163818
-47623,6668,945647,2025-01-12 05:03:39.585501184,0.5000030994415283
