time,target,master_offset,freq,path_delay
1736658068.578494437,0.5000717639923096,-527777,-201116,1493540
1736658069.578746507,0.49987316131591797,149308,317636,1085678
1736658070.581303518,0.5000951290130615,-469869,-256749,1493540
1736658071.578927927,0.500046968460083,-140211,-68052,1441967
1736658072.579541475,0.5001068115234375,-258958,-228862,1441967
1736658073.578787420,0.5002045631408691,-381208,-428799,1901403
1736658074.578785347,0.5000202655792236,176184,14230,1901403
1736658075.578830560,0.49989843368530273,341299,232200,1671685
1736658076.578926928,0.5001025199890137,-251622,-258331,1901403
1736658077.579427371,0.500037431716919,35776,-46420,1901403
1736658078.579109460,0.49992823600769043,244193,172730,1671685
1736658079.579544689,0.49968957901000977,682446,684241,1263822
1736658080.579585916,0.4998924732208252,-50026,156503,1263822
1736658081.579537240,0.500007152557373,-224700,-33179,1218999
1736658082.578884315,0.5000600814819336,-251471,-127360,1218999
1736658083.579309404,0.4997410774230957,557993,606663,976931
1736658084.579661139,0.5000300407409668,-360318,-144250,976931
1736658085.579829342,0.49995923042297363,7429,115401,747634
1736658086.579880155,0.4997134208679199,527806,638007,747634
1736658087.579156264,0.5002009868621826,-802368,-533825,747634
1736658088.579604387,0.5002169609069824,-444452,-416620,863861
1736658089.579161445,0.5001254081726074,-119468,-224971,1081606
1736658090.579994824,0.5000028610229492,168653,27309,1081606
1736658091.579320873,0.4999251365661621,260186,169438,878810
1736658092.579341453,0.4999208450317383,173540,160848,878810
1736658093.579473797,0.500002384185791,-61633,-22263,1066629
1736658094.580509557,0.5001296997070312,-308249,-287369,1066629
1736658095.580433553,0.5000534057617188,-7479,-79073,1167039
1736658096.579946927,0.5000200271606445,42578,-31260,1167039
1736658097.580427617,0.49991726875305176,257242,196177,1115993
1736658098.579955615,0.4999411106109619,95016,111124,1152062
1736658099.579575674,0.49999046325683594,-33462,11151,1117389
1736658100.580037898,0.4999825954437256,7057,41631,1117389
1736658101.579668979,0.5000920295715332,-246555,-209864,1252087
1736658102.580201753,0.5000565052032471,-58957,-96232,1252087
1736658103.580221721,0.4999983310699463,75705,20743,1252087
