Seconds_sin,Seconds_cos,master_offset,freq,path_delay,OT
-0.7449209630493263,-0.667152725250871,-155955,-4807,3259391,4000661.67
-0.7449694588057506,-0.6670985725113396,349724,454085,3104725,4014858.745
-0.7450179945116296,-0.6670443672304485,-372843,-163565,3104725,4135295.782
-0.7450665025937363,-0.6669901848698659,-419261,-321835,3270911,4485830.071
-0.745114972739685,-0.6669360369624201,288365,260012,3270911,4628007.037
-0.7451634663632628,-0.6668818549019658,85301,143458,3270911,4649535.584
-0.745211975090342,-0.6668276480335465,-128082,-44335,3384332,4619031.178
-0.7452604677340191,-0.6667734512057832,-129266,-83944,3454595,4188184.268
-0.7453089528490099,-0.6667192548615289,3,6546,3454595,3946006.353
-0.7453574587210576,-0.666665027377983,-459153,-452609,3569506,3843835.909
-0.7454059294980228,-0.6666108311970251,-150590,-281792,3689060,3850895.871
-0.7454544133224621,-0.6665566124929403,196317,19938,3689060,3864064.361
-0.7455028838350181,-0.6665024007411162,327039,209555,3569506,3075645.7
-0.7455513251441441,-0.6664482137239253,677484,658111,3397283,2642176.155
-0.7455997931206584,-0.6663939889423008,80854,264727,3397283,3104329.098
-0.7456482652539032,-0.6663397515711073,-369726,-161597,3199343,3370557.151
-0.7456967044780892,-0.6662855430898357,-621312,-524101,3188935,3469452.803
-0.7457451820435833,-0.6662312837587131,393518,304335,3188935,3698378.604
-0.7457936288104124,-0.6661770509600258,164894,193767,3135208,3866529.835
-0.7458420731214047,-0.6661228129721765,76650,154991,3069511,3885866.419
-0.7458905035058514,-0.6660685826397965,-15430,85906,3069511,3853955.341
-0.7459389467479608,-0.6660143299693655,-305160,-208453,3252917,3888759.382
-0.7459873756791872,-0.6659600853859631,-42006,-36847,3252917,3885868.876
-0.7460358065915522,-0.6659058306422103,29823,22380,3252917,3995353.032
-0.7460842295789026,-0.6658515768349995,126118,127622,3135208,4050389.467
-0.7461326425719823,-0.6657973262852221,-9129,30211,3174218,4596636.322
-0.746181018528227,-0.6657431093058176,158378,194979,3029337,4308015.261
-0.7462294329909656,-0.6656888412298813,5859,89973,3029337,4381785.853
-0.746277845291358,-0.665634567632487,-59089,26783,3029337,4452382.605
-0.74632624528048,-0.6655802998929137,-45950,22195,3029337,4336799.107
-0.7463746386347379,-0.6655260316492996,-267100,-212740,3230274,4252967.193
-0.7464230451025748,-0.6654717407522271,115070,89300,3081990,3945303.784
-0.7464714383303411,-0.6654174567570583,75645,84396,3081990,3913195.398
-0.7465198214663425,-0.6653631761360559,-55588,-24143,3153633,3565710.355
-0.7465682108984422,-0.6653088805028076,-31349,-16581,3153633,3653906.593
-0.7466165799590967,-0.6652545997813031,-114194,-108830,3255838,3978037.226
-0.7466649655809539,-0.6652002925239834,82509,53614,3255838,3845475.594
-0.7467133384112155,-0.6651459916730894,72645,68503,3255838,3711513.73
-0.7467617054228052,-0.665091689403817,27493,45145,3255838,3753325.332
-0.7468100694263895,-0.6650373825608237,4953,30853,3255838,3859755.601
-0.746858421953639,-0.6649830806546284,82307,109692,3175339,3897691.422
-0.7469067852138458,-0.6649287587415046,9304,61382,3175339,4301537.471
-0.7469551411562307,-0.6648744370934074,-30528,24341,3175339,4641413.748
-0.7470034920215719,-0.6648201131942214,14733,60443,3163730,4702004.233
-0.7470518314363321,-0.6647657942069688,-80489,-30359,3199454,4553867.506
-0.7471001664433728,-0.6647114722195522,-57707,-31723,3199454,4000565.359
-0.7471485129305345,-0.664657129372499,47260,55931,3163730,3698470.137
-0.7471968464574824,-0.6646027931358651,71582,94431,3163730,3817225.023
-0.7472451751173247,-0.6645484544138814,50879,95203,3187618,4309127.745
-0.7472935031903217,-0.6644941083933977,-36508,23080,3158689,4174469.264
-0.7473418173407779,-0.6644397700723396,-46654,1981,3158689,3991110.469
