Laboratory,MJD,[UTC-UTC(k)]/ns,uA,Clock,Frequency Drift/ns,Lab_ID,Group
AGGO,60154,837.7,0.7,351881,0.6974,1,E
AGGO,60154,837.7,0.7,408620,1.1928,1,E
AGGO,60154,837.7,0.7,408624,0.1663,1,E
AGGO,60159,837.7,0.7,351881,0.6974,1,E
AGGO,60159,837.7,0.7,408620,1.1928,1,E
AGGO,60159,837.7,0.7,408624,0.1663,1,E
AGGO,60164,837.7,0.7,351881,0.6974,1,E
AGGO,60164,837.7,0.7,408620,1.1928,1,E
AGGO,60164,837.7,0.7,408624,0.1663,1,E
AGGO,60169,837.7,0.7,351881,0.6974,1,E
AGGO,60169,837.7,0.7,408620,1.1928,1,E
AGGO,60169,837.7,0.7,408624,0.1663,1,E
AGGO,60174,837.7,0.7,351881,0.6974,1,E
AGGO,60174,837.7,0.7,408620,1.1928,1,E
AGGO,60174,837.7,0.7,408624,0.1663,1,E
AGGO,60179,837.7,0.7,351881,0.6974,1,E
AGGO,60179,837.7,0.7,408620,1.1928,1,E
AGGO,60179,837.7,0.7,408624,0.1663,1,E
AGGO,60184,837.7,0.7,351881,0.4898,1,E
AGGO,60184,837.7,0.7,408620,0.3948,1,E
AGGO,60184,837.7,0.7,408624,0.3589,1,E
AGGO,60189,837.7,0.7,351881,0.4898,1,E
AGGO,60189,837.7,0.7,408620,0.3948,1,E
AGGO,60189,837.7,0.7,408624,0.3589,1,E
AGGO,60194,837.7,0.7,351881,0.4898,1,E
AGGO,60194,837.7,0.7,408620,0.3948,1,E
AGGO,60194,837.7,0.7,408624,0.3589,1,E
AGGO,60199,837.7,0.7,351881,0.4898,1,E
AGGO,60199,837.7,0.7,408620,0.3948,1,E
AGGO,60199,837.7,0.7,408624,0.3589,1,E
AGGO,60204,837.7,0.7,351881,0.4898,1,E
AGGO,60204,837.7,0.7,408620,0.3948,1,E
AGGO,60204,837.7,0.7,408624,0.3589,1,E
AGGO,60209,837.7,0.7,351881,0.4898,1,E
AGGO,60209,837.7,0.7,408620,0.3948,1,E
AGGO,60209,837.7,0.7,408624,0.3589,1,E
AGGO,60214,837.7,0.7,351881,-0.3084,1,E
AGGO,60214,837.7,0.7,408620,-0.2186,1,E
AGGO,60214,837.7,0.7,408624,0.4216,1,E
AGGO,60219,837.7,0.7,351881,-0.3084,1,E
AGGO,60219,837.7,0.7,408620,-0.2186,1,E
AGGO,60219,837.7,0.7,408624,0.4216,1,E
AGGO,60224,837.7,0.7,351881,-0.3084,1,E
AGGO,60224,837.7,0.7,408620,-0.2186,1,E
AGGO,60224,837.7,0.7,408624,0.4216,1,E
AGGO,60229,837.7,0.7,351881,-0.3084,1,E
AGGO,60229,837.7,0.7,408620,-0.2186,1,E
AGGO,60229,837.7,0.7,408624,0.4216,1,E
AGGO,60234,837.7,0.7,351881,-0.3084,1,E
AGGO,60234,837.7,0.7,408620,-0.2186,1,E
AGGO,60234,837.7,0.7,408624,0.4216,1,E
AGGO,60239,837.7,0.7,351881,-0.3084,1,E
AGGO,60239,837.7,0.7,408620,-0.2186,1,E
AGGO,60239,837.7,0.7,408624,0.4216,1,E
AGGO,60244,837.7,0.7,351881,0.2927,1,E
AGGO,60244,837.7,0.7,408620,-0.2743,1,E
AGGO,60244,837.7,0.7,408624,0.2994,1,E
AGGO,60249,837.7,0.7,351881,0.2927,1,E
AGGO,60249,837.7,0.7,408620,-0.2743,1,E
AGGO,60249,837.7,0.7,408624,0.2994,1,E
AGGO,60254,837.7,0.7,351881,0.2927,1,E
AGGO,60254,837.7,0.7,408620,-0.2743,1,E
AGGO,60254,837.7,0.7,408624,0.2994,1,E
AGGO,60259,837.7,0.7,351881,0.2927,1,E
AGGO,60259,837.7,0.7,408620,-0.2743,1,E
AGGO,60259,837.7,0.7,408624,0.2994,1,E
AGGO,60264,837.7,0.7,351881,0.2927,1,E
AGGO,60264,837.7,0.7,408620,-0.2743,1,E
AGGO,60264,837.7,0.7,408624,0.2994,1,E
AGGO,60269,837.7,0.7,351881,0.2927,1,E
AGGO,60269,837.7,0.7,408620,-0.2743,1,E
AGGO,60269,837.7,0.7,408624,0.2994,1,E
AGGO,60274,837.7,0.7,351881,0.1132,1,E
AGGO,60274,837.7,0.7,408620,-0.4416,1,E
AGGO,60274,837.7,0.7,408624,0.3962,1,E
AGGO,60279,826.8,0.7,351881,0.1132,1,E
AGGO,60279,826.8,0.7,408620,-0.4416,1,E
AGGO,60279,826.8,0.7,408624,0.3962,1,E
AGGO,60284,829.6,0.7,351881,0.1132,1,E
AGGO,60284,829.6,0.7,408620,-0.4416,1,E
AGGO,60284,829.6,0.7,408624,0.3962,1,E
AGGO,60289,841.8,0.7,351881,0.1132,1,E
AGGO,60289,841.8,0.7,408620,-0.4416,1,E
AGGO,60289,841.8,0.7,408624,0.3962,1,E
AGGO,60294,828.5,0.7,351881,0.1132,1,E
AGGO,60294,828.5,0.7,408620,-0.4416,1,E
AGGO,60294,828.5,0.7,408624,0.3962,1,E
AGGO,60299,836.2,0.7,351881,0.1132,1,E
AGGO,60299,836.2,0.7,408620,-0.4416,1,E
AGGO,60299,836.2,0.7,408624,0.3962,1,E
AGGO,60304,814.2,0.7,351881,0.1132,1,E
AGGO,60304,814.2,0.7,408620,-0.4416,1,E
AGGO,60304,814.2,0.7,408624,0.3962,1,E
AGGO,60309,811.4,0.7,351881,-0.3223,1,E
AGGO,60309,811.4,0.7,408620,-2.2398,1,E
AGGO,60309,811.4,0.7,408624,0.5827,1,E
AGGO,60309,811.4,0.7,351881,-0.3223,1,E
AGGO,60309,811.4,0.7,408620,-2.2398,1,E
AGGO,60309,811.4,0.7,408624,0.5827,1,E
AGGO,60314,795.2,0.7,351881,-0.3223,1,E
AGGO,60314,795.2,0.7,408620,-2.2398,1,E
AGGO,60314,795.2,0.7,408624,0.5827,1,E
AGGO,60319,785.6,0.7,351881,-0.3223,1,E
AGGO,60319,785.6,0.7,408620,-2.2398,1,E
AGGO,60319,785.6,0.7,408624,0.5827,1,E
AGGO,60324,778.9,0.7,351881,-0.3223,1,E
AGGO,60324,778.9,0.7,408620,-2.2398,1,E
AGGO,60324,778.9,0.7,408624,0.5827,1,E
