master_offset,freq,path_delay,date,OT
39324,118898,3132189,2025-01-17 09:13:22.568403712,3764240.561
286450,377822,3132189,2025-01-17 09:13:23.567937536,3597347.629
-55887,121420,3132189,2025-01-17 09:13:24.568002816,3325784.127
-596677,-436137,3187444,2025-01-17 09:13:25.568475136,3400714.645
-124511,-142974,3220601,2025-01-17 09:13:26.568475904,3778665.675
34130,-21686,3220601,2025-01-17 09:13:27.568481280,3914949.977
158061,112484,3187444,2025-01-17 09:13:28.568529664,3926111.55
-19083,-17242,3267960,2025-01-17 09:13:29.568541952,3881944.216
385012,381128,3267960,2025-01-17 09:13:30.568078592,3809497.196
-369720,-258100,3267960,2025-01-17 09:13:31.568550912,3649017.735
205204,205908,3361990,2025-01-17 09:13:32.568010752,3797687.443
-318861,-256596,3361990,2025-01-17 09:13:33.568562688,3759631.696
-72129,-105522,3412064,2025-01-17 09:13:34.568634624,4000608.753
43864,-11168,3412064,2025-01-17 09:13:35.568614400,4107510.579
538586,496713,3412064,2025-01-17 09:13:36.568198656,3996263.387
-464930,-345227,3471498,2025-01-17 09:13:37.568662784,3780773.627
-7659,-27435,3412064,2025-01-17 09:13:38.568670720,4060528.82
519,-21554,3420645,2025-01-17 09:13:39.568591616,4115770.471
73578,51660,3420645,2025-01-17 09:13:40.568697600,4145021.615
-44831,-44675,3503556,2025-01-17 09:13:41.568590848,4151724.6
53776,40482,3503556,2025-01-17 09:13:42.568714496,4200532.094
101011,103850,3452408,2025-01-17 09:13:43.568716032,4170688.416
29778,62920,3418195,2025-01-17 09:13:44.568709632,4108635.297
380812,422888,3418195,2025-01-17 09:13:45.568238592,3967426.74
-21128,135191,3418195,2025-01-17 09:13:46.568243200,3660246.396
-134048,15933,3418195,2025-01-17 09:13:47.568233472,3590392.22
-134889,-25122,3463894,2025-01-17 09:13:48.568217600,3616353.938
-483190,-413890,3463894,2025-01-17 09:13:49.568763392,3787433.295
-23164,-98821,3463894,2025-01-17 09:13:50.568661504,4136496.625
130897,48291,3411841,2025-01-17 09:13:51.568649984,4220864.016
118641,75304,3411841,2025-01-17 09:13:52.568695296,4194043.058
86815,79070,3411841,2025-01-17 09:13:53.568822272,4147166.896
-8580,9720,3440899,2025-01-17 09:13:54.568705536,4118405.578
22020,37746,3440899,2025-01-17 09:13:55.568703744,4129844.751
20971,43303,3440899,2025-01-17 09:13:56.568912128,4119998.685
-4029,24594,3440899,2025-01-17 09:13:57.568756224,4111849.714
420663,448077,3376598,2025-01-17 09:13:58.568482048,3989832.475
-421134,-267521,3424122,2025-01-17 09:13:59.568772352,3785725.172
252975,280248,3424122,2025-01-17 09:14:00.568406272,3918408.924
-393129,-289964,3433237,2025-01-17 09:14:01.568947200,3838533.997
-68971,-83744,3433237,2025-01-17 09:14:02.568796928,4096207.265
-67178,-102643,3593463,2025-01-17 09:14:03.569117952,4215157.651
223891,168273,3433237,2025-01-17 09:14:04.568981248,4266263.495
27920,39469,3433237,2025-01-17 09:14:05.568830464,4166099.097
39168,59093,3433237,2025-01-17 09:14:06.568836096,4150283.982
560599,592275,3191584,2025-01-17 09:14:07.568551936,3960677.451
-576893,-377038,3437212,2025-01-17 09:14:08.568852736,3688671.589
250883,277671,3437212,2025-01-17 09:14:09.568575232,3898622.253
-400124,-298072,3437212,2025-01-17 09:14:10.568940032,3823159.455
-99506,-117491,3437212,2025-01-17 09:14:11.569034240,4096569.622
328567,280730,3191584,2025-01-17 09:14:12.569039360,4124259.325
674513,725247,3514924,2025-01-17 09:14:13.569076224,3739551.945
-947073,-693986,3514924,2025-01-17 09:14:14.569044992,3469923.627
-197348,-228382,3491381,2025-01-17 09:14:15.569008384,4053424.737
-301382,-391621,3870404,2025-01-17 09:14:16.569154816,4360148.627
770495,589842,3526567,2025-01-17 09:14:17.568679936,4486940.618
-117393,-66898,3526567,2025-01-17 09:14:18.569028352,4123333.086
329317,344594,3128254,2025-01-17 09:14:19.569171968,4096376.83
45365,159437,3158520,2025-01-17 09:14:20.569235200,3836753.148
252287,379969,3158520,2025-01-17 09:14:21.568731648,3640460.258
-554059,-350691,3220099,2025-01-17 09:14:22.569232640,3509481.799
-237279,-200129,3273467,2025-01-17 09:14:23.569264128,3844399.577
356476,322442,3273467,2025-01-17 09:14:24.568839424,3917002.518
-498134,-425225,3859172,2025-01-17 09:14:25.568812544,3848829.826
-494795,-571326,3930545,2025-01-17 09:14:26.569299712,4347153.56
560464,335495,3859172,2025-01-17 09:14:27.568838912,4675893.282
-102786,-159616,3859172,2025-01-17 09:14:28.569289728,4518189.101
273976,186310,3657882,2025-01-17 09:14:29.568484352,4603401.03
-97812,-103285,3873833,2025-01-17 09:14:30.569342464,4533354.453
240993,206176,3657882,2025-01-17 09:14:31.569175552,4573373.971
73828,111309,3657882,2025-01-17 09:14:32.568471552,4425190.558
647403,707032,3356098,2025-01-17 09:14:33.568917504,4164320.734
547115,800965,3356098,2025-01-17 09:14:34.569380864,3458014.118
-1177112,-759127,3356098,2025-01-17 09:14:35.568587264,3157357.845
-367806,-302955,3328255,2025-01-17 09:14:36.569395968,3808445.456
358732,313241,3328255,2025-01-17 09:14:37.568967168,3955499.828
-280586,-218457,3328255,2025-01-17 09:14:38.568636928,3831948.57
106839,84792,3156189,2025-01-17 09:14:39.568499968,3988517.391
45623,55628,3156189,2025-01-17 09:14:40.568634624,3942019.689
-72536,-48844,3244987,2025-01-17 09:14:41.568520192,3947382.895
6762,8693,3244987,2025-01-17 09:14:42.568662016,4008406.736
157351,161311,3140909,2025-01-17 09:14:43.568673024,3983224.268
-4445,46720,3140909,2025-01-17 09:14:44.568667904,3885948.947
-3468,46363,3140909,2025-01-17 09:14:45.568692992,3868845.151
503137,551928,3089782,2025-01-17 09:14:46.569106176,3699667.506
-550863,-351131,3130462,2025-01-17 09:14:47.568710912,3449791.209
-159980,-125507,3130462,2025-01-17 09:14:48.568739840,3762278.032
-18214,-31735,3115637,2025-01-17 09:14:49.568724992,3889006.576
47558,28573,3115637,2025-01-17 09:14:50.568745216,3932063.617
110472,105754,3052979,2025-01-17 09:14:51.568680704,3909706.39
73269,101693,3018922,2025-01-17 09:14:52.568761088,3834681.693
15932,66337,3018922,2025-01-17 09:14:53.568793600,3773152.943
-56151,-967,3052979,2025-01-17 09:14:54.568804608,3756622.138
12334,50673,3017405,2025-01-17 09:14:55.568803584,3771504.46
-33315,8724,3017405,2025-01-17 09:14:56.568782848,3763002.916
28269,60314,2972054,2025-01-17 09:14:57.568785152,3768198.469
24928,65453,2957575,2025-01-17 09:14:58.568807680,3735823.651
-7644,40360,2957575,2025-01-17 09:14:59.568781824,3707445.645
-59717,-14006,2999447,2025-01-17 09:15:00.568778240,3713009.492
-31316,-3520,2999447,2025-01-17 09:15:01.568751616,3753345.908
121352,139753,2999447,2025-01-17 09:15:02.568847616,3743084.705
-85792,-30986,2940995,2025-01-17 09:15:03.568862464,3684413.312
16833,45902,2940995,2025-01-17 09:15:04.568884480,3721662.626
-75404,-41285,2968388,2025-01-17 09:15:05.568814336,3731606.702
28641,40138,2968388,2025-01-17 09:15:06.568830720,3777775.172
-64339,-44249,3002429,2025-01-17 09:15:07.568830464,3792624.085
-87268,-86480,3158474,2025-01-17 09:15:08.568943872,3879119.913
-219352,-244744,3392018,2025-01-17 09:15:09.568932352,4042865.842
36036,-55162,3392018,2025-01-17 09:15:10.568922112,4259837.317
147318,66931,3392018,2025-01-17 09:15:11.568961024,4307644.574
145801,109609,3385849,2025-01-17 09:15:12.568714752,4257302.059
23192,30741,3385849,2025-01-17 09:15:13.568930816,4200975.217
-112496,-97990,3508175,2025-01-17 09:15:14.568966656,4238580.284
130982,111739,3385849,2025-01-17 09:15:15.568984064,4302733.001
